POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
42,3,9,1:45.682,+4.132,+0.102,167.2,12,ASR,ProAm,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Andrzej,LEWANDOWSKI,B,,POL,,,,,,,Adrian,LEWANDOWSKI,S,,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,76,14,1:46.062,+4.512,+0.380,166.6,19,Schumacher CLRT,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Lola,LOVINFOSSE,,,FRA,,,,,,,Jean-Baptiste,MELA,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,24,14,1:46.481,+4.931,+0.419,166.0,22,AKF Motorsport,Am,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Oliver,FREYMUTH,B,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,90,14,1:46.569,+5.019,+0.088,165.8,22,GT3 Poland,Am,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Holger,HARMSEN,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,54,8,1:46.702,+5.152,+0.133,165.6,22,Brutal Fish Racing Team,LC,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Jason,KEATS,B,,CAN,,,,,,,Charlie,MARTIN,B,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,69,17,1:46.864,+5.314,+0.162,165.4,21,GM Motorsport,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Marco,GERSAGER,S,,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,16,1:47.483,+5.933,+0.619,164.4,23,Iron Lynx,LC,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,John,SEALE,B,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,77,8,1:48.071,+6.521,+0.588,163.5,19,BDR Competition by Grupo Prom,LC,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Alfredo,HERNANDEZ,,,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,17,13,1:50.209,+8.659,+2.138,160.4,19,DS Racing,LC,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Serge,DOMS,S,,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,25,0,,,,,4,UNIQ Racing,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Jerzy,SPINKIEWICZ,S,,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,31,0,,,,,3,Target Racing,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Hampus,ERIKSSON,S,,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
