driver,session_date,event,series_code,class,elo,delta,laps,cumulative_laps,license
robin frijns,2021-05-01 13:30:00,Spa,wec,LMP2,1752,0,40,40,Platinum
roman rusinov,2021-05-01 13:30:00,Spa,wec,LMP2,1693,176,41,69,Gold
rui andrade,2021-05-01 13:30:00,Spa,wec,LMP2,1266,-214,52,110,Silver
sean gelael,2021-05-01 13:30:00,Spa,wec,LMP2,1490,0,42,42,Silver
simon trummer,2021-05-01 13:30:00,Spa,wec,LMP2,1503,-63,44,69,Gold
sophia floersch,2021-05-01 13:30:00,Spa,wec,LMP2,1381,0,80,80,Silver
stoffel vandoorne,2021-05-01 13:30:00,Spa,wec,LMP2,1698,0,41,41,Platinum
tatiana calderon,2021-05-01 13:30:00,Spa,wec,LMP2,1333,0,38,38,Silver
tom blomqvist,2021-05-01 13:30:00,Spa,wec,LMP2,1654,0,77,77,Platinum
alexandre coigny,2021-05-16 11:00:00,Spielberg,elms,LMP2,1136,-96,51,92,Bronze
antonin borga,2021-05-16 11:00:00,Spielberg,elms,LMP2,1526,-119,55,112,Gold
arnold robin,2021-05-16 11:00:00,Spielberg,elms,LMP2,1212,24,37,86,Bronze
benjamin hanley,2021-05-16 11:00:00,Spielberg,elms,LMP2,1520,-70,52,179,Gold
charlie eastwood,2021-05-16 11:00:00,Spielberg,elms,LMP2,1585,51,53,79,Gold
diego menchaca,2021-05-16 11:00:00,Spielberg,elms,LMP2,1467,131,65,117,Silver
dwight merriman,2021-05-16 11:00:00,Spielberg,elms,LMP2,1022,-90,34,358,Bronze
ferdinand habsburg,2021-05-16 11:00:00,Spielberg,elms,LMP2,1668,33,50,127,Gold
francesco dracone,2021-05-16 11:00:00,Spielberg,elms,LMP2,1130,-118,32,75,Silver
franco colapinto,2021-05-16 11:00:00,Spielberg,elms,LMP2,1606,-136,49,148,Silver
francois heriau,2021-05-16 11:00:00,Spielberg,elms,LMP2,1460,-3,32,62,Bronze
gustavo menezes,2021-05-16 11:00:00,Spielberg,elms,LMP2,1432,-373,46,106,Platinum
henrik hedman,2021-05-16 11:00:00,Spielberg,elms,LMP2,889,-336,48,140,Bronze
james allen,2021-05-16 11:00:00,Spielberg,elms,LMP2,1418,0,41,41,Gold
jean-baptiste lahaye,2021-05-16 11:00:00,Spielberg,elms,LMP2,1601,-31,66,124,Silver
job van uitert,2021-05-16 11:00:00,Spielberg,elms,LMP2,1721,-8,42,129,Gold
john falb,2021-05-16 11:00:00,Spielberg,elms,LMP2,1312,29,31,93,Bronze
jonathan aberdein,2021-05-16 11:00:00,Spielberg,elms,LMP2,1697,142,33,60,Gold
julien canal,2021-05-16 11:00:00,Spielberg,elms,LMP2,1476,-145,59,118,Silver
kyle tilley,2021-05-16 11:00:00,Spielberg,elms,LMP2,1449,-16,49,476,Silver
logan sargeant,2021-05-16 11:00:00,Spielberg,elms,LMP2,1743,0,44,44,Platinum
louis deletraz,2021-05-16 11:00:00,Spielberg,elms,LMP2,1833,72,29,87,Gold
manuel maldonado,2021-05-16 11:00:00,Spielberg,elms,LMP2,1530,91,66,124,Silver
markus pommer,2021-05-16 11:00:00,Spielberg,elms,LMP2,1312,-58,64,109,Silver
matthieu lahaye,2021-05-16 11:00:00,Spielberg,elms,LMP2,1586,54,50,102,Silver
maxime robin,2021-05-16 11:00:00,Spielberg,elms,LMP2,1277,71,66,96,Silver
memo rojas,2021-05-16 11:00:00,Spielberg,elms,LMP2,1566,-31,33,62,Silver
nick de vries,2021-05-16 11:00:00,Spielberg,elms,LMP2,1911,103,67,165,Platinum
nicolas jamin,2021-05-16 11:00:00,Spielberg,elms,LMP2,1713,192,32,86,Gold
nicolas lapierre,2021-05-16 11:00:00,Spielberg,elms,LMP2,1718,126,41,247,Platinum
patrick pilet,2021-05-16 11:00:00,Spielberg,elms,LMP2,1643,9,45,74,Platinum
paul lafargue,2021-05-16 11:00:00,Spielberg,elms,LMP2,1460,-38,66,119,Silver
paul loup chatin,2021-05-16 11:00:00,Spielberg,elms,LMP2,1851,-31,37,390,Gold
philip hanson,2021-05-16 11:00:00,Spielberg,elms,LMP2,1858,-37,65,162,Gold
rene binder,2021-05-16 11:00:00,Spielberg,elms,LMP2,1610,124,65,122,Gold
richard bradley,2021-05-16 11:00:00,Spielberg,elms,LMP2,1418,40,33,85,Gold
robert kubica,2021-05-16 11:00:00,Spielberg,elms,LMP2,1733,115,54,81,Platinum
roberto merhi,2021-05-16 11:00:00,Spielberg,elms,LMP2,1740,233,52,122,Platinum
roman rusinov,2021-05-16 11:00:00,Spielberg,elms,LMP2,1691,-2,33,102,Gold
rui andrade,2021-05-16 11:00:00,Spielberg,elms,LMP2,1419,154,66,176,Silver
ryan dalziel,2021-05-16 11:00:00,Spielberg,elms,LMP2,1582,-119,63,503,Gold
salih yoluc,2021-05-16 11:00:00,Spielberg,elms,LMP2,1338,155,51,274,Silver
sergio campana,2021-05-16 11:00:00,Spielberg,elms,LMP2,1445,-58,49,99,Gold
tom gamble,2021-05-16 11:00:00,Spielberg,elms,LMP2,1595,-52,50,107,Gold
tristan gommendy,2021-05-16 11:00:00,Spielberg,elms,LMP2,1588,86,50,104,Platinum
vincent capillaire,2021-05-16 11:00:00,Spielberg,elms,LMP2,1266,116,42,99,Silver
william stevens,2021-05-16 11:00:00,Spielberg,elms,LMP2,1588,-166,45,100,Platinum
yifei ye,2021-05-16 11:00:00,Spielberg,elms,LMP2,1821,207,66,122,Gold
alexandre coigny,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,963,-173,51,143,Bronze
antonin borga,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1590,64,23,135,Gold
arnold robin,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1107,-105,23,109,Bronze
charlie eastwood,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1801,216,52,131,Gold
diego menchaca,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1484,18,52,169,Silver
dwight merriman,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,956,-66,22,380,Bronze
ferdinand habsburg,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1699,31,23,150,Gold
francesco dracone,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1106,-23,23,98,Silver
franco colapinto,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1729,123,55,203,Silver
francois heriau,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1280,-180,23,85,Bronze
gabriel aubry,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1680,-70,50,561,Gold
harry tincknell,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1738,175,23,71,Platinum
james allen,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1545,127,35,76,Gold
jean-baptiste lahaye,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1513,-87,55,179,Silver
jean-eric vergne,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1631,0,28,28,Platinum
job van uitert,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1687,-34,48,177,Gold
john falb,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1310,-2,27,120,Bronze
jonathan aberdein,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1647,-50,34,94,Gold
julien canal,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1458,-18,40,158,Silver
kyle tilley,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1373,-76,50,526,Silver
louis deletraz,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1711,-122,49,136,Gold
manuel maldonado,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1572,42,51,175,Silver
markus pommer,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1306,-6,49,158,Silver
matthieu lahaye,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1395,-190,46,148,Silver
maxime robin,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1135,-141,51,147,Silver
memo rojas,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1607,41,23,85,Silver
nick de vries,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1950,39,48,213,Platinum
nicolas jamin,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1799,85,27,113,Gold
nicolas lapierre,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1821,103,51,298,Platinum
paul lafargue,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1438,-22,51,170,Silver
paul loup chatin,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1805,-46,46,436,Gold
philip hanson,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1794,-64,23,185,Gold
rene binder,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1593,-17,55,177,Gold
richard bradley,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1550,132,51,136,Gold
robert kubica,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1733,0,26,107,Platinum
roberto merhi,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1701,-39,46,168,Platinum
roman rusinov,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1803,113,23,125,Gold
rui andrade,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1426,7,52,228,Silver
salih yoluc,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1304,-33,51,325,Silver
