event_id,series_code,year,event_number,event_name,track,track_id,track_official_name,track_country,track_lat,track_lon,start_date,end_date,session_count,race_count,race_duration_minutes,race_type,avg_air_temp_f,avg_track_temp_f,avg_humidity_pct,had_rain,dry,is_race
imsa-2021-daytona,imsa,2021,02,Daytona International Speedway,Daytona,daytona,Daytona International Speedway,United States,29.1851,-81.0707,2021-01-22,2021-01-30,12,33029,1440,Ultra-Endurance,61.8,124.2,75.2,false,true,true
imsa-2020-laguna-seca,imsa,2020,14,Weathertech Raceway Laguna Seca,Laguna Seca,laguna-seca,WeatherTech Raceway Laguna Seca,United States,36.5842,-121.7517,2020-10-31,2020-11-01,4,3062,162,Sprint,78.4,100.7,30.5,false,true,true
imsa-2020-charlotte,imsa,2020,11,Charlotte Motor Speedway,Charlotte,charlotte,Charlotte Motor Speedway,United States,35.3515,-80.6834,2020-10-09,2020-10-10,4,894,101,Sprint,66.5,68.6,90.0,false,true,true
imsa-2020-mid-ohio,imsa,2020,10,Mid-Ohio Sports Car Course,Mid-Ohio,mid-ohio,Mid-Ohio Sports Car Course,United States,40.6869,-82.6352,2020-09-25,2020-09-27,4,2529,161,Sprint,71.6,74.5,71.1,false,true,true
imsa-2020-vir,imsa,2020,08,VIRginia International Raceway,VIR,virginia-international-raceway,Virginia International Raceway,United States,36.5618,-79.2046,2020-08-21,2020-08-22,4,1555,162,Sprint,79.0,75.9,81.4,false,true,true
imsa-2020-road-america,imsa,2020,07,Lamborghini at Road America,Road America,road-america,Road America,United States,43.7918,-87.9897,2020-07-31,2020-08-02,4,1760,168,Sprint,72.3,86.2,76.1,false,true,true
imsa-2020-road-america,imsa,2020,06,Road America,Road America,road-america,Road America,United States,43.7918,-87.9897,2020-07-31,2020-08-02,4,1760,168,Sprint,72.3,86.2,76.1,false,true,true
imsa-2020-sebring,imsa,2020,15,Sebring International Raceway,Sebring,sebring,Sebring International Raceway,United States,27.4547,-81.3483,2020-07-17,2020-11-14,9,2203,163,Sprint,81.6,84.5,80.5,false,true,true
imsa-2020-sebring,imsa,2020,05,Sebring International Raceway,Sebring,sebring,Sebring International Raceway,United States,27.4547,-81.3483,2020-07-17,2020-11-14,9,2203,163,Sprint,81.6,84.5,80.5,false,true,true
imsa-2020-daytona,imsa,2020,04,Daytona International Speedway,Daytona,daytona,Daytona International Speedway,United States,29.1851,-81.0707,2020-01-03,2020-07-04,18,2271,162,Sprint,72.2,74.3,73.2,false,true,true
imsa-2020-daytona,imsa,2020,02,Rolex 24 at Daytona,Daytona,daytona,Daytona International Speedway,United States,29.1851,-81.0707,2020-01-03,2020-07-04,18,2271,162,Sprint,72.2,74.3,73.2,false,true,true
imsa-2020-daytona,imsa,2020,01,Roar Before the Rolex 24,Daytona,daytona,Daytona International Speedway,United States,29.1851,-81.0707,2020-01-03,2020-07-04,18,2271,162,Sprint,72.2,74.3,73.2,false,true,true
imsa-2019-laguna-seca,imsa,2019,17,GT3 - Weathertech Raceway Laguna Seca,Laguna Seca,laguna-seca,WeatherTech Raceway Laguna Seca,United States,36.5842,-121.7517,2019-09-13,2019-09-15,6,3509,162,Sprint,76.5,105.7,49.8,false,true,true
imsa-2019-laguna-seca,imsa,2019,16,Weathertech Raceway Laguna Seca,Laguna Seca,laguna-seca,WeatherTech Raceway Laguna Seca,United States,36.5842,-121.7517,2019-09-13,2019-09-15,6,3509,162,Sprint,76.5,105.7,49.8,false,true,true
imsa-2019-vir,imsa,2019,15,VIRginia International Raceway,VIR,virginia-international-raceway,Virginia International Raceway,United States,36.5618,-79.2046,2019-08-23,2019-08-25,6,1781,163,Sprint,79.2,96.4,64.1,false,true,true
imsa-2019-road-america,imsa,2019,14,Road America,Road America,road-america,Road America,United States,43.7918,-87.9897,2019-08-02,2019-08-04,6,2658,164,Sprint,82.7,97.7,57.6,false,true,true
imsa-2019-lime-rock,imsa,2019,13,Lime Rock Park,Lime Rock,lime-rock,Lime Rock Park,United States,41.9277,-73.3836,2019-07-19,2019-07-20,6,3731,161,Sprint,90.4,118.4,66.4,false,true,true
imsa-2019-mosport,imsa,2019,11,Canadian Tire Motorsport Park,Mosport,mosport,Canadian Tire Motorsport Park,Canada,44.0481,-78.6756,2019-07-05,2019-07-07,6,3807,169,Sprint,77.4,106.9,59.9,false,true,true
imsa-2019-mosport,imsa,2019,07,CTMP-Victoria Day,Mosport,mosport,Canadian Tire Motorsport Park,Canada,44.0481,-78.6756,2019-07-05,2019-07-07,6,3807,169,Sprint,77.4,106.9,59.9,false,true,true
imsa-2019-belle-isle,imsa,2019,08,Belle Isle Street Course,Belle Isle,belle-isle,Detroit Belle Isle Grand Prix,United States,42.3378,-83.0008,2019-05-31,2019-06-01,5,1194,102,Sprint,74.1,71.0,57.7,false,true,true
imsa-2019-mid-ohio,imsa,2019,06,Mid-Ohio Sports Car Course,Mid-Ohio,mid-ohio,Mid-Ohio Sports Car Course,United States,40.6869,-82.6352,2019-05-03,2019-05-05,6,3899,162,Sprint,57.6,59.4,81.9,false,true,true
